"date","store","week","move","qty","price","profit","sales","custcoun","haba","brand","name","city","zip","lat","long","% Population under age 9","% Population over age 60","% Blacks & Hispanics","% College Graduates","Average Household Size","% of households with 1 person","% of households with 2 persons","% of households with 3 or 4 persons","% of households with 5 or more persons","% Working Women with full-time jobs","% of Households with Value over $150,000","% of Households with Value over $200,000","% of Singles","% of Retired","% of Unemployed","% of working women with children 6 - 17","% of non-working women with children 6 - 17","% of working women with children","% of non-working women with children","% of working women with no children","% of households with mortgages","% of population that is non-white","% of population with income under $15,000","% of population that is between the age of 9 and 60","% of population that is white","% of population that is neither black & hispanics or white","% of people that arent college graduates","% of women that arent working","% of households without mortages","% of population with income over $15,000"
1993-12-30,2,225,14,8,18.12,380.4,31.16,115784,91733.92,"vo5","DOMINICKS    2","RIVER FOREST",60305,419081,878131,0.117508575320244,0.232864737510681,0.114279948174953,0.24893493950367,2.53106236457825,0.282033175230026,0.312919169664383,0.301094233989716,0.103953406214714,0.303585350513458,0.463887065649033,0.300393968820572,0.297620981931686,0.200620129704475,0.181764855980873,0.0827596560120583,0.0664471685886383,0.112391501665115,0.119425319135189,0.286432147026062,0.549144566059113,0.138225600123405,0.0619594007730484,0.649626687169075,0.861774399876595,0.023945651948452,0.75106506049633,0.696414649486542,0.450855433940887,0.938040599226952
1993-12-30,5,225,17,10,20.6,458.74,34.53,205100,260474.5,"vo5","DOMINICKS    5","PALATINE",60067,421203,880431,0.141433477401733,0.117368035018444,0.0538752786815166,0.321225732564926,2.65643882751465,0.218851700425148,0.335076719522476,0.342979997396469,0.103091582655907,0.410568028688431,0.535883367061615,0.296345382928848,0.264585256576538,0.096642754971981,0.177905306220055,0.145191162824631,0.0877899974584579,0.203790441155434,0.196274921298027,0.272814899682999,0.851805984973907,0.0911701992154121,0.0251046027988195,0.741198487579823,0.908829800784588,0.0372949205338955,0.678774267435074,0.589431971311569,0.148194015026093,0.97489539720118
1993-12-30,8,225,41,11,22.89,565.12,76.19,274274,232843.6,"vo5","DOMINICKS    8","OAK LAWN",60453,417331,877436,0.123155415058136,0.252394020557404,0.0352433286607265,0.0951732769608498,2.76960301399231,0.210821509361267,0.314417690038681,0.343011111021042,0.131749704480171,0.283074736595154,0.0542271547019482,0.0091090239584446,0.250372141599655,0.208451971411705,0.173884809017181,0.114791706204414,0.0815746039152145,0.152596801519394,0.149385213851929,0.236706227064133,0.647718667984009,0.0459968596696854,0.0513525418937206,0.62445056438446,0.954003140330315,0.0107535310089588,0.90482672303915,0.716925263404846,0.352281332015991,0.948647458106279
1993-12-30,9,225,12,6,14.04,301.01,26.18,91230,71932.62,"vo5","DOMINICKS    9","MORTON GROVE",60053,420411,877994,0.103503100574017,0.269119024276733,0.0326188243925571,0.222172319889069,2.61689448356628,0.211544051766396,0.358679860830307,0.332945615053177,0.0968304723501205,0.358994513750076,0.505747139453888,0.186484336853027,0.230005189776421,0.168280869722366,0.142050042748451,0.13062895834446,0.0681056976318359,0.166480585932732,0.123061656951904,0.289618819952011,0.662824809551239,0.129981905221939,0.028060482814908,0.62737787514925,0.870018094778061,0.0973630808293819,0.777827680110931,0.641005486249924,0.337175190448761,0.971939517185092
1993-12-30,12,225,32,12,26.38,588.27,64.78,337020,374226.6,"vo5","DOMINICKS   12","CHICAGO",60660,419928,876592,0.105696737766266,0.178341403603554,0.380697995424271,0.253412961959839,1.95901811122894,0.492594838142395,0.282815992832184,0.167376756668091,0.0572124160826206,0.390941590070724,0.386627912521362,0.220930233597755,0.451637327671051,0.175666034221649,0.203794002532959,0.058338176459074,0.0205694362521172,0.109006389975548,0.0669378265738487,0.333294898271561,0.656891524791718,0.495331764221191,0.168864101171494,0.71596185863018,0.504668235778809,0.114633768796921,0.746587038040161,0.609058409929276,0.343108475208282,0.831135898828506
1993-12-30,14,225,17,8,17.92,370.26,34.33,137568,166380.56,"vo5","DOMINICKS   14","GLENVIEW",60025,420733,877994,0.129589378833771,0.213949277997017,0.0341787450015545,0.348293036222458,2.73506140708923,0.186332270503044,0.338831841945648,0.366941601037979,0.107894293963909,0.362305760383606,0.750769913196564,0.472503304481506,0.223351776599884,0.156164601445198,0.150933086872101,0.139834806323051,0.0886828005313873,0.184900745749474,0.156499058008194,0.263188004493713,0.740787148475647,0.120350241661072,0.0193504970520735,0.656461343169212,0.879649758338928,0.0861714966595173,0.651706963777542,0.637694239616394,0.259212851524353,0.980649502947927
1993-12-30,18,225,37,13,27.47,637.89,73.13,296478,247675.74,"vo5","DOMINICKS   18","RIVER GROVE",60171,419364,878331,0.110094986855984,0.272313356399536,0.0744171440601349,0.0722464546561241,2.53033781051636,0.268805414438248,0.32669124007225,0.306565701961517,0.0979376286268234,0.313907712697983,0.0933519452810287,0.010469377040863,0.256403088569641,0.215321615338326,0.165454104542732,0.0970352739095688,0.0538400635123253,0.125274911522865,0.11383830755949,0.28297945857048,0.494407564401627,0.0895674675703049,0.0757273808121681,0.61759165674448,0.910432532429695,0.01515032351017,0.927753545343876,0.686092287302017,0.505592435598373,0.924272619187832
1993-12-30,21,225,16,11,22.89,565.44,33.44,176759,184220.63,"vo5","DOMINICKS   21","HANOVER PARK",60103,420058,881411,0.175926342606544,0.0668964609503746,0.105038776993752,0.177503451704979,3.11039137840271,0.13883413374424,0.266122221946716,0.430864542722702,0.164179101586342,0.406070917844772,0.123485736548901,0.0431809313595295,0.258991062641144,0.0644493326544762,0.189012557268143,0.198092177510262,0.0735877081751823,0.293483644723892,0.219276517629623,0.188988819718361,0.939297795295715,0.163363412022591,0.024785241112113,0.757177196443081,0.836636587977409,0.0583246350288391,0.822496548295021,0.593929082155228,0.0607022047042847,0.975214758887887
1993-12-30,28,225,6,3,4.77,180.49,9.54,46620,34155.18,"vo5","DOMINICKS   28","MOUNT PROSPECT",60056,420686,879208,0.128879532217979,0.213308781385422,0.0559354722499847,0.233162567019463,2.64650940895081,0.210600048303604,0.356292307376862,0.329441994428635,0.10366565734148,0.389058530330658,0.445140033960342,0.131466224789619,0.233601719141006,0.141100183129311,0.148255810141563,0.151092618703842,0.0757544189691544,0.19500520825386,0.143184185028076,0.27820011973381,0.749096155166626,0.0965281426906586,0.0354974307119846,0.657811686396599,0.903471857309341,0.0405926704406738,0.766837432980537,0.610941469669342,0.250903844833374,0.964502569288015
1993-12-30,32,225,25,12,25.18,606.07,49.35,335472,291304.32,"vo5","DOMINICKS   32","PARK RIDGE",60068,419872,878378,0.099060632288456,0.254953026771545,0.0319385156035423,0.198259860277176,2.4011538028717,0.290305972099304,0.343566507101059,0.28587618470192,0.0802513659000397,0.344152092933655,0.538346409797668,0.223905727267265,0.265329599380493,0.180097967386246,0.162361428141594,0.0994595587253571,0.0629562884569168,0.129515498876572,0.121740780770779,0.300290733575821,0.566198766231537,0.0526046119630337,0.0377008654177189,0.645986340939999,0.947395388036966,0.0206660963594913,0.801740139722824,0.655847907066345,0.433801233768463,0.962299134582281
1993-12-30,33,225,10,5,10.05,307.3,20.1,113300,67609.6,"vo5","DOMINICKS   33","CHICAGO",60657,419386,876447,0.0460709184408188,0.134169965982437,0.130127176642418,0.419688016176224,1.55429029464722,0.61400955915451,0.280455499887466,0.0920286029577255,0.0135063556954265,0.472308278083801,0.862559258937836,0.682464480400085,0.593475520610809,0.0937556251883507,0.181752741336823,0.0412318222224712,0.0176218990236521,0.0713430270552635,0.0477331057190895,0.459542512893677,0.584745764732361,0.17047081887722,0.0875380709767342,0.819759115576744,0.82952918112278,0.0403436422348022,0.580311983823776,0.527691721916199,0.415254235267639,0.912461929023266
1993-12-30,40,225,23,10,21.3,528.82,51.17,194010,151071.4,"vo5","DOMINICKS   40","BRIDGEVIEW",60455,417317,877969,0.133684650063515,0.181851804256439,0.044053066521883,0.072128601372242,2.73097157478333,0.229367211461067,0.300859957933426,0.342959821224213,0.126812994480133,0.306107968091965,0.0689893886446953,0.011536686681211,0.266478449106216,0.166113555431366,0.192904114723206,0.123485870659351,0.0829968601465225,0.171040818095207,0.177433833479881,0.227252647280693,0.736391544342041,0.0565339997410774,0.0551848039031029,0.684463545680046,0.943466000258923,0.0124809332191944,0.927871398627758,0.693892031908035,0.263608455657959,0.944815196096897
1993-12-30,44,225,13,6,11.44,359.56,24.47,110676,122495.7,"vo5","DOMINICKS   44","WESTERN SPRINGS",60558,418033,878903,0.1448834836483,0.190982773900032,0.0376320742070675,0.32973837852478,2.77843451499939,0.173053398728371,0.346514463424683,0.364044040441513,0.116388097405434,0.340794384479523,0.642685234546661,0.390478730201721,0.226447939872742,0.166714683175087,0.171900510787964,0.123044095933437,0.0903271660208702,0.165896162390709,0.170697018504143,0.258870840072632,0.687517046928406,0.0534809678792953,0.0301548484712839,0.664133742451668,0.946519032120705,0.0158488936722279,0.67026162147522,0.659205615520477,0.312482953071594,0.969845151528716
1993-12-30,45,225,12,9,15.01,528.17,19.78,124695,114901.83,"vo5","DOMINICKS   45","WHEELING",60090,421403,879300,0.146718755364418,0.128857344388962,0.0872338712215424,0.280150175094604,2.49889850616455,0.262567579746246,0.338073313236237,0.315641909837723,0.0837172046303749,0.464112609624863,0.342017114162445,0.15147003531456,0.251599997282028,0.0830912888050079,0.151867225766182,0.131414026021957,0.0560125336050987,0.202506855130196,0.164120644330978,0.318058788776398,0.88254714012146,0.129654735326767,0.0228273924440145,0.72442390024662,0.870345264673233,0.0424208641052246,0.719849824905396,0.535887390375137,0.11745285987854,0.977172607555985
1993-12-30,47,225,16,9,15.01,525.22,26.84,126954,100772.73,"vo5","DOMINICKS   47","ADDISON",60101,419364,880022,0.14296168088913,0.125798299908638,0.120675891637802,0.140598654747009,2.92439937591553,0.1756202429533,0.29204922914505,0.386598944664001,0.145731583237648,0.398027032613754,0.335671335458755,0.107548430562019,0.275212377309799,0.0962595269083977,0.168321222066879,0.172810286283493,0.0848833248019218,0.231822788715363,0.173993915319443,0.248752906918526,0.816009938716888,0.165979251265526,0.0326235592365265,0.731240019202232,0.834020748734474,0.0453033596277237,0.859401345252991,0.601972967386246,0.183990061283112,0.967376440763474
1993-12-30,48,225,14,10,20.6,468.25,28.86,114670,99018,"vo5","DOMINICKS   48","SCHAUMBURG",60193,420503,880775,0.121767081320286,0.0979219600558281,0.0994917005300522,0.303260385990143,2.35283708572388,0.324907183647156,0.325967818498611,0.270638138055801,0.078486829996109,0.459682822227478,0.303356289863586,0.160499140620232,0.334087401628494,0.0666415691375732,0.166227415204048,0.15309864282608,0.0707737430930138,0.214338093996048,0.157315731048584,0.308082640171051,0.934455275535583,0.174465537071228,0.0182043127715588,0.780310958623886,0.825534462928772,0.0749738365411758,0.696739614009857,0.540317177772522,0.0655447244644165,0.981795687228441
