HDR,Global,Mean,Sea,Level,Data
0,911,2017.4446250,461526,333684.91,31.70
0,912,2017.4717910,463435,335381.09,32.12
0,913,2017.4989570,460691,334767.41,32.44
0,914,2017.5261230,461194,336191.00,32.91
0,915,2017.5532890,455267,333537.81,34.93
0,916,2017.5804560,450870,332325.00,39.54
0,917,2017.6076220,451011,331749.31,38.96
0,918,2017.6347880,448302,331949.81,39.23
0,919,2017.6619540,444207,329775.69,41.37
0,920,2017.6891200,448023,333028.41,43.69
0,921,2017.7162860,449820,334448.81,44.13
0,922,2017.7434530,447866,332651.41,41.23
0,923,2017.7706190,451315,334680.19,41.36
0,924,2017.7977850,447960,332646.00,41.89
0,925,2017.8249510,450913,333076.59,42.17
0,926,2017.8521170,454665,334991.50,44.09
0,927,2017.8792830,461695,336917.00,42.96
0,928,2017.9064490,465602,337837.59,44.37
0,929,2017.9336160,464313,336112.09,42.68
0,930,2017.9607820,468242,338800.50,41.85
0,931,2017.9879480,470352,339605.09,37.61
0,932,2018.0151140,467719,337518.50,36.71
0,933,2018.0422800,468321,338623.31,37.31
0,934,2018.0694460,472091,340255.09,38.21
0,935,2018.0966130,466736,337233.50,39.38
0,936,2018.1237790,466522,336968.81,36.00
0,937,2018.1509450,466616,336887.59,32.66
0,938,2018.1781110,467049,336958.91,37.27
0,939,2018.2052770,468552,337981.91,37.84
0,940,2018.2324430,468057,337708.81,35.06
0,941,2018.2596090,464951,334155.19,32.72
0,942,2018.2867760,466453,336886.31,34.57
0,943,2018.3139420,468199,337303.69,33.92
0,944,2018.3411080,467928,337036.00,34.08
0,945,2018.3682740,464598,334452.19,33.67
0,946,2018.3954400,468403,337420.41,34.24
0,947,2018.4226060,464525,335632.00,35.94
0,948,2018.4497720,464273,335952.41,35.29
0,949,2018.4769390,461798,335448.91,34.18
0,950,2018.5041050,460539,336251.50,35.57
0,951,2018.5312710,451680,331845.31,38.58
0,952,2018.5584370,449916,331104.41,40.60
0,953,2018.5856030,450097,332714.31,39.41
0,954,2018.6127690,449745,332946.59,41.01
0,955,2018.6399360,446789,332029.59,42.25
0,956,2018.6671020,445733,331781.50,44.46
0,957,2018.6942680,444503,330499.31,48.13
0,958,2018.7214340,445839,331170.69,47.61
0,959,2018.7486000,444024,329393.59,50.82
0,960,2018.7757660,446385,330285.81,48.08
0,961,2018.8029320,452144,331894.00,48.61
0,962,2018.8300990,453681,332779.41,50.25
0,963,2018.8572650,458869,335074.00,47.49
0,964,2018.8844310,458162,333620.50,44.91
0,965,2018.9115970,460437,333918.19,42.51
0,966,2018.9387630,464787,336638.50,43.70
0,967,2018.9659290,468555,337677.50,42.73
0,968,2018.9930960,470487,338524.59,41.71
0,969,2019.0202620,467262,336502.50,40.44
0,970,2019.0474280,469252,338261.09,46.30
0,971,2019.0745940,465811,335779.81,42.73
0,972,2019.1017600,468309,337506.19,44.30
0,973,2019.1289260,465734,335490.41,42.43
0,974,2019.1560920,86625,62710.10,42.53
0,975,2019.1832590,353465,254428.91,43.88
0,976,2019.2104250,466597,336460.31,45.82
0,977,2019.2375910,463426,334129.31,42.98
0,978,2019.2647570,210066,152217.70,41.01
0,979,2019.2919230,465728,334892.41,39.57
0,980,2019.3190890,465922,336287.19,43.22
0,981,2019.3462560,461821,334092.41,44.33
0,982,2019.3734220,462517,333469.31,42.71
0,983,2019.4005880,465636,334679.50,41.59
0,984,2019.4277540,465637,336885.81,41.67
0,985,2019.4549200,464541,335878.00,44.25
0,986,2019.4820860,459315,333938.50,44.24
0,987,2019.5092520,456448,332348.81,44.60
0,988,2019.5364190,453732,331605.50,46.53
0,989,2019.5635850,453760,332424.31,46.23
0,990,2019.5907510,452183,333310.31,47.82
0,991,2019.6179170,450215,332093.50,52.55
0,992,2019.6450830,450764,332335.09,54.65
0,993,2019.6722490,447706,330364.09,53.99
0,994,2019.6994150,448722,331775.41,55.95
0,995,2019.7265820,448526,331471.69,55.48
0,996,2019.7537480,447550,330152.91,52.61
0,997,2019.7809140,449376,331131.41,53.77
0,998,2019.8080800,449416,330484.69,52.41
0,999,2019.8352460,455208,333951.09,51.00
0,1000,2019.8624120,455628,333083.69,54.10
0,1001,2019.8895790,461553,335437.31,52.82
0,1002,2019.9167450,462991,335063.50,51.61
0,1003,2019.9439110,466251,336364.19,52.01
0,1004,2019.9710770,468569,337347.69,48.77
0,1005,2019.9982430,467823,337023.31,48.12
0,1006,2020.0253400,465591,336736.19,45.33
0,1007,2020.0524320,466049,336368.31,43.15
0,1008,2020.0795240,279885,201847.50,44.73
0,1009,2020.1066160,51547,36435.40,39.43
0,1010,2020.1337080,463894,335905.81,45.91
0,1011,2020.1608000,466111,335951.19,45.47
0,1012,2020.1878910,466207,335941.41,47.61
0,1013,2020.2149830,464568,335138.59,44.04
0,1014,2020.2420750,466323,336191.00,44.84
0,1015,2020.2691670,464024,334431.50,44.13
0,1016,2020.2962590,467523,335617.41,42.18
0,1017,2020.3233510,467014,335849.91,43.33
0,1018,2020.3504430,468162,336503.69,45.63
0,1019,2020.3775350,467781,337660.09,45.03
0,1020,2020.4046270,463622,335394.41,42.52
0,1021,2020.4317190,466254,336934.59,43.78
0,1022,2020.4588110,304395,220295.20,42.08
0,1023,2020.4859030,462408,336158.41,44.50
0,1024,2020.5129950,456705,333880.81,45.66
0,1025,2020.5400870,458077,334301.31,46.80
0,1026,2020.5671780,455668,333999.50,47.59
0,1027,2020.5942700,455227,334817.81,49.43
0,1028,2020.6213620,448502,331103.19,47.90
0,1029,2020.6484540,446505,330803.09,50.69
0,1030,2020.6755460,448161,331355.00,53.15
0,1031,2020.7026380,442983,329513.91,53.94
0,1032,2020.7297300,447580,332291.00,52.92
0,1033,2020.7568220,450972,333527.19,54.54
0,1034,2020.7839140,448871,332073.69,54.75
0,1035,2020.8110060,389979,287722.81,53.27
0,1036,2020.8380980,422538,312028.69,55.35
0,1037,2020.8651900,456156,334995.91,53.34
0,1038,2020.8922820,458606,336509.00,48.88
0,1039,2020.9193740,461385,336195.19,50.42
0,1040,2020.9464650,463623,336209.59,48.37
0,1041,2020.9735570,468028,337891.19,48.96
0,1042,2021.0006510,464986,336156.19,48.89
0,1043,2021.0278170,468515,337427.59,50.11
0,1044,2021.0549830,468471,337493.69,50.01
0,1045,2021.0821500,467877,337836.31,49.73
0,1046,2021.1093160,462866,334156.41,46.80
0,1047,2021.1364820,465337,335567.81,45.29
0,1048,2021.1636480,467959,337557.00,44.57
0,1049,2021.1908140,466271,335802.50,45.58
0,1050,2021.2179800,466752,336370.19,46.13
0,1051,2021.2451460,467346,337255.41,49.05
0,1052,2021.2723130,464069,334789.69,48.61
0,1053,2021.2994790,447210,322836.00,47.97
0,1054,2021.3266450,463285,333251.31,45.56
0,1055,2021.3538110,463469,334930.69,46.14
0,1056,2021.3809770,467758,338043.41,47.84
0,1057,2021.4081430,466325,337368.69,46.66
0,1058,2021.4353100,463240,335462.81,44.45
0,1059,2021.4624760,461262,335068.19,47.73
0,1060,2021.4896420,459241,333999.50,47.53
0,1061,2021.5168080,455757,334999.59,49.79
0,1062,2021.5439740,453391,333563.00,48.77
0,1063,2021.5711400,450614,332403.50,52.27
0,1064,2021.5983060,448408,331974.69,54.69
0,1065,2021.6254730,442099,328107.09,56.92
0,1066,2021.6526390,440819,327567.41,53.51
